'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:53 +0800],request method: GET,requested url path:/
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/css/index.css
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/layui/css/layui.css
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/layui/layui.js
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/images/face.jpg
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/js/cache.js
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/js/index.js
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/page/main.html
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/layui/font/iconfont.woff2
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/js/bodyTab.js
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/layui/lay/modules/form.js
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/layui/css/layui.css
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/css/public.css
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/layui/layui.js
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/js/main.js
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/layui/lay/modules/element.js
'access ip:172.18.91.193 , reponse code:200,time:[25/Sep/2019:09:21:54 +0800],request method: GET,requested url path:/layui/lay/modules/layer.js
